exit_date,throttle_weighted_net_return,cumulative_net_return,drawdown
2025-02-18,-0.00011484778091955,-0.00011484778091955,0.0
2025-02-24,-0.014698712983787526,-0.014813560764707077,-0.014698712983787526
2025-06-18,0.0166771454221359,0.001863584657428823,0.0
2025-09-15,0.0061541289403170985,0.008017713597745921,0.0
2025-10-13,0.023292076508582248,0.03130979010632817,0.0
2026-01-05,0.0008541288378713,0.032163918944199475,0.0
2026-01-06,-0.0002000801284051,0.03196383881579438,-0.00020008012840509737
2026-01-08,-0.0036992837914052,0.02826455502438918,-0.003899363919810297
2026-02-06,0.00447622416046435,0.032740779184853526,0.0
2026-05-05,0.028257781758305102,0.06099856094315863,0.0
2026-06-01,0.039342414984194,0.10034097592735264,0.0
