date,period_net_return,cumulative_weighted_net_return,drawdown
2024-10-25 00:00:00,-0.011046644539299754,-0.011046644539299754,0.0
2024-11-08 00:00:00,0.06210690807677249,0.051060263537472735,0.0
2024-11-22 00:00:00,-0.05183323470031168,-0.000772971162838948,-0.05183323470031168
2024-12-09 00:00:00,-0.03506021857774806,-0.03583318974058701,-0.08689345327805975
2024-12-23 00:00:00,-0.055263764047989314,-0.09109695378857632,-0.14215721732604905
2025-01-08 00:00:00,-0.06607202751360072,-0.15716898130217705,-0.20822924483964977
2025-01-24 00:00:00,-0.09044835379220965,-0.24761733509438671,-0.29867759863185944
2025-02-07 00:00:00,-0.09163491139931483,-0.33925224649370156,-0.3903125100311743
2025-02-24 00:00:00,-0.12213428749477227,-0.46138653398847385,-0.5124467975259466
2025-03-10 00:00:00,0.005741172537850912,-0.45564536145062295,-0.5067056249880957
2025-03-24 00:00:00,-0.013900506700684732,-0.46954586815130767,-0.5206061316887804
2025-04-07 00:00:00,-0.045671873271020014,-0.5152177414223277,-0.5662780049598004
2025-04-17 00:00:00,-0.004529411764705889,-0.5197471531870336,-0.5708074167245063
2025-04-22 00:00:00,0.04386503831695183,-0.47588211487008175,-0.5269423784075545
2025-05-20 00:00:00,-0.0013934804944644853,-0.4772755953645462,-0.528335858902019
2025-06-18 00:00:00,-0.03581303322087984,-0.513088628585426,-0.5641488921228988
2025-07-03 00:00:00,-0.008604324348381607,-0.5216929529338077,-0.5727532164712804
2025-07-18 00:00:00,0.01713202762816146,-0.5045609253056462,-0.555621188843119
2025-08-01 00:00:00,-0.01820843305027134,-0.5227693583559175,-0.5738296218933903
2025-08-15 00:00:00,0.05174288579864457,-0.471026472557273,-0.5220867360947458
2025-08-29 00:00:00,0.04732521823203597,-0.42370125432523703,-0.47476151786270976
2025-09-15 00:00:00,-0.013053339098305897,-0.43675459342354295,-0.4878148569610157
2025-09-29 00:00:00,0.045624399199928375,-0.39113019422361456,-0.4421904577610873
2025-10-13 00:00:00,-0.03193639189917742,-0.42306658612279197,-0.4741268496602647
2025-10-27 00:00:00,0.017740830695588218,-0.4053257554272037,-0.45638601896467645
2025-11-10 00:00:00,-0.0869809008308012,-0.49230665625800496,-0.5433669197954777
2025-11-24 00:00:00,-0.1575452762037809,-0.6498519324617859,-0.7009121959992586
2025-12-09 00:00:00,0.11832597415586144,-0.5315259583059244,-0.5825862218433971
2025-12-23 00:00:00,0.0034696638089725647,-0.5280562944969519,-0.5791165580344246
2025-12-24 00:00:00,-0.0010900956038376111,-0.5291463901007896,-0.5802066536382623
2026-01-05 00:00:00,0.008106796116504849,-0.5210395939842847,-0.5720998575217574
2026-01-06 00:00:00,-0.00476001811184061,-0.5257996120961252,-0.576859875633598
2026-01-08 00:00:00,-0.025032076084496632,-0.5508316881806219,-0.6018919517180946
2026-01-22 00:00:00,-0.00717729393468118,-0.558008982115303,-0.6090692456527758
2026-02-06 00:00:00,-0.043704512117266746,-0.6017134942325698,-0.6527737577700425
2026-02-23 00:00:00,-0.017883059418457636,-0.6195965536510275,-0.6706568171885002
2026-03-09 00:00:00,-0.030250699193231007,-0.6498472528442585,-0.7009075163817312
2026-03-23 00:00:00,0.015393170870067835,-0.6344540819741906,-0.6855143455116633
2026-03-26 00:00:00,-0.01211864406779661,-0.6465727260419872,-0.69763298957946
2026-04-07 00:00:00,0.021628271818570223,-0.624944454223417,-0.6760047177608898
2026-04-21 00:00:00,0.05781449953227314,-0.5671299546911439,-0.6181902182286166
2026-05-05 00:00:00,-0.010238380258597106,-0.577368334949741,-0.6284285984872138
2026-05-19 00:00:00,-0.0008416925041035931,-0.5782100274538446,-0.6292702909913174
2026-06-03 00:00:00,0.05516467146246509,-0.5230453559913796,-0.5741056195288523
2026-06-05 00:00:00,0.000769518061489731,-0.5222758379298899,-0.5733361014673626
